gene	idx
DHRS3	889
DHRS7C	890
DHX58	891
DIRAS3	892
DKC1	893
DKK1	894
DKK3	895
DKK4	896
DKKL1	897
DLGAP4	898
DLGAP5	899
DLL4	900
DLX2	901
DLX3	902
DLX5	903
DMD	904
DMRT2	905
DMRTA2	906
DMRTB1	907
DMRTC2	908
DNAAF2	909
DNAH3	910
DNAH5	911
DNAJA4	912
DNAJB1	913
DNAJB8	914
DNAJB9	915
DNAJC12	916
DNAJC22	917
DNAJC28	918
DNAJC5G	919
DNASE1L3	920
DNMT3L	921
DNTT	922
DOCK11	923
DOK5	924
DOT1L	925
DPEP1	926
DPEP2	927
DPEP2NB	928
DPP4	929
DPP6	930
DPPA2	931
DPPA4	932
DPPA5	933
DPYD	934
DPYS	935
DPYSL2	936
DQX1	937
DRC7	938
DRD1	939
DRD5	940
DRGX	941
DSC1	942
DSC2	943
DSCAML1	944
DSCC1	945
DSEL	946
DSG3	947
DSG4	948
DSTYK	949
DTL	950
DTX3L	951
DUOX2	952
DUOXA1	953
DUS3L	954
DUSP1	955
DUSP10	956
DUSP13	957
DUSP16	958
DUSP2	959
DUSP21	960
DUSP4	961
DUSP5	962
DUSP6	963
DUSP8	964
DUT	965
DYDC2	966
DYNC2LI1	967
DYNLT2	968
DYNLT4	969
DYSF	970
E2F1	971
E2F2	972
EBI3	973
EBNA1BP2	974
EBP	975
ECE1	976
ECT2	977
EDA	978
EDARADD	979
EDDM3B	980
EDIL3	981
EDN1	982
EDN3	983
EED	984
EEF1A2	985
EEF1AKMT4	986
EEIG1	987
EFCAB9	988
EFNA1	989
EFNA2	990
EFNA5	991
EFNB1	992
EFNB2	993
EFNB3	994
EGFL6	995
EGLN3	996
EGR1	997
EGR2	998
EGR3	999
EGR4	1000
EHF	1001
EIF1AY	1002
EIF4A2	1003
EIF4E1B	1004
EIF4E3	1005
EIF4EBP1	1006
ELANE	1007
ELAPOR1	1008
ELF5	1009
ELL2	1010
ELOA2	1011
EMB	1012
EMG1	1013
EMP1	1014
EMX1	1015
EN1	1016
EN2	1017
ENC1	1018
ENO2	1019
ENPP2	1020
ENPP5	1021
ENSG00000170846	1022
ENSG00000283205	1023
ENSG00000283536	1024
ENSG00000284188	1025
ENSG00000284779	1026
ENSG00000284797	1027
ENSG00000285938	1028
ENSG00000290685	1029
ENTPD1	1030
ENTPD2	1031
ENTPD8	1032
EOMES	1033
EPAS1	1034
EPB41	1035
EPB42	1036
EPC1	1037
EPGN	1038
EPHA4	1039
EPHA6	1040
EPHB6	1041
EPM2AIP1	1042
EPN3	1043
EPO	1044
EPOP	1045
EPPIN	1046
EPPK1	1047
EPSTI1	1048
EPX	1049
ERAS	1050
ERBB3	1051
ERCC6L2	1052
ERICH4	1053
ERICH6	1054
ERMP1	1055
ERN1	1056
ERVV-2	1057
ESM1	1058
ESPL1	1059
ESRP2	1060
ESX1	1061
ETS2	1062
ETV6	1063
EVA1B	1064
EVC	1065
EVI2A	1066
EVI2B	1067
EVL	1068
EVPL	1069
EVX1	1070
EVX2	1071
EXD1	1072
EXO1	1073
EXOC1L	1074
EXOSC4	1075
EXT1	1076
EYA4	1077
F11R	1078
F2RL2	1079
F3	1080
F5	1081
F7	1082
F9	1083
FABP12	1084
FABP3	1085
FABP4	1086
FABP5	1087
FABP9	1088
FADS1	1089
FADS2	1090
FAM110B	1091
FAM110D	1092
FAM111A	1093
FAM111B	1094
FAM117A	1095
FAM13A	1096
FAM151A	1097
FAM162A	1098
FAM163A	1099
FAM180A	1100
FAM181A	1101
FAM187B	1102
FAM200B	1103
FAM205A	1104
FAM216A	1105
FAM218A	1106
FAM221B	1107
FAM237A	1108
FAM237B	1109
FAM240A	1110
FAM240B	1111
FAM241A	1112
FAM24A	1113
FAM3C	1114
FAM3D	1115
FAM43A	1116
FAM53C	1117
FAM83D	1118
FAM83E	1119
FAM90A26	1120
FANCA	1121
FANCD2OS	1122
FANCI	1123
FANK1	1124
FAS	1125
FASLG	1126
FASN	1127
FAT2	1128
FAT3	1129
FAXDC2	1130
FBP2	1131
FBXO17	1132
FBXO30	1133
FBXO32	1134
FBXO40	1135
FCAR	1136
FCER1G	1137
FCGBP	1138
FCGR3B	1139
FCMR	1140
FCN2	1141
FCRL2	1142
FCRL4	1143
FCRL5	1144
FCRL6	1145
FDXR	1146
FEM1A	1147
FEN1	1148
FES	1149
FEV	1150
FGB	1151
FGD3	1152
FGF11	1153
FGF13	1154
FGF16	1155
FGF17	1156
FGF18	1157
FGF22	1158
FGF5	1159
FGF6	1160
FGF8	1161
FGF9	1162
FGFBP2	1163
FGFR1	1164
FGFR2	1165
FGL1	1166
FGL2	1167
FHIT	1168
FHOD3	1169
FIBCD1	1170
FIGN	1171
FIGNL2	1172
FILIP1L	1173
FJX1	1174
FKBP11	1175
FKBP1C	1176
FKBP6	1177
FLCN	1178
FLG	1179
FLNB	1180
FLOT1	1181
FLT1	1182
FLT3LG	1183
FMN1	1184
FMN2	1185
FMNL2	1186
FMO1	1187
FN1	1188
FNDC3B	1189
FNDC5	1190
FNDC9	1191
FOS	1192
FOSB	1193
FOSL1	1194
FOSL2	1195
FOXA2	1196
FOXA3	1197
FOXB2	1198
FOXC1	1199
FOXC2	1200
FOXD1	1201
FOXD2	1202
FOXD3	1203
FOXD4	1204
FOXE1	1205
FOXF1	1206
FOXI2	1207
FOXI3	1208
FOXJ1	1209
FOXL1	1210
FOXL3	1211
FOXM1	1212
FOXN4	1213
FOXO6	1214
FOXP1	1215
FOXP3	1216
FOXR2	1217
FPR2	1218
FPR3	1219
FREM3	1220
FRG2	1221
FRG2C	1222
FRMD4B	1223
FRMPD3	1224
FSCN1	1225
FSCN3	1226
FSHB	1227
FSHR	1228
FSIP2	1229
FST	1230
FSTL5	1231
FTCD	1232
FTH1	1233
FUT11	1234
FUT7	1235
FUT8	1236
FXYD2	1237
FXYD6	1238
FYB1	1239
FYN	1240
FZD1	1241
FZD4	1242
FZD7	1243
FZD8	1244
FZD9	1245
G0S2	1246
G6PC1	1247
GAB2	1248
GAB3	1249
GABARAP	1250
GABBR2	1251
GABPB1	1252
GABRA5	1253
GABRQ	1254
GAD2	1255
GADD45A	1256
GADD45B	1257
GADD45G	1258
GAGE1	1259
GAL3ST3	1260
GALNT16	1261
GALNT2	1262
GALNTL6	1263
GALP	1264
GALR1	1265
GALT	1266
GAPT	1267
GARIN4	1268
GARIN5B	1269
GAST	1270
GATA3	1271
GBE1	1272
GBP1	1273
GBP4	1274
GBP5	1275
GBX2	1276
GC	1277
GCG	1278
GCHFR	1279
GCKR	1280
GCM2	1281
GCNT7	1282
GCSAML	1283
GDA	1284
GDF10	1285
GDF15	1286
GDF5	1287
GDF5-AS1	1288
GDNF	1289
GEM	1290
GFI1	1291
GFPT2	1292
GFRAL	1293
GGH	1294
GGT6	1295
GH1	1296
GH2	1297
GHR	1298
GHRH	1299
GIMAP1	1300
GIMAP2	1301
GIMAP4	1302
GIMAP5	1303
GIMAP6	1304
GIMAP7	1305
GIMAP8	1306
GINS2	1307
GJA1	1308
GJA4	1309
GJA9	1310
GJB2	1311
GJB3	1312
GJB4	1313
GJB6	1314
GJD2	1315
GJD3	1316
GJE1	1317
GKN1	1318
GLCCI1	1319
GLIPR1	1320
GLIPR1L1	1321
GLIPR1L2	1322
GLIPR2	1323
GLRA3	1324
GLRX	1325
GLTPD2	1326
GLUL	1327
GLYAT	1328
GLYATL1	1329
GLYCTK	1330
GMCL2	1331
GMNC	1332
GMNN	1333
GNA15	1334
GNAI1	1335
GNAT3	1336
GNB4	1337
GNB5	1338
GNG13	1339
GNG14	1340
GNG3	1341
GNG4	1342
GNG8	1343
GNGT1	1344
GNLY	1345
GOLGA7B	1346
GOLGA8H	1347
GOLGA8O	1348
GOLIM4	1349
GOT1L1	1350
GP2	1351
GPAT3	1352
GPATCH4	1353
GPC4	1354
GPER1	1355
GPR101	1356
GPR132	1357
GPR141	1358
GPR149	1359
GPR15	1360
GPR160	1361
GPR162	1362
GPR17	1363
GPR173	1364
GPR174	1365
GPR18	1366
GPR183	1367
GPR20	1368
GPR31	1369
GPR32	1370
GPR34	1371
GPR37L1	1372
GPR61	1373
GPR65	1374
GPR68	1375
GPR87	1376
GPRC5C	1377
GPRIN3	1378
GPSM2	1379
GPSM3	1380
GPX5	1381
GPX6	1382
GRAMD1A	1383
GRAMD1B	1384
GRAMD2A	1385
GRAMD4	1386
GRAP2	1387
GRB14	1388
GREB1L	1389
GREM1	1390
GRHL2	1391
GRIA1	1392
GRIA4	1393
GRID2	1394
GRIK1	1395
GRIK3	1396
GRIN1	1397
GRIN2C	1398
GRIN3B	1399
GRINA	1400
GRK1	1401
GRK3	1402
GRM3	1403
GRN	1404
GRWD1	1405
GSC	1406
GSDMB	1407
GSDMD	1408
GSG1L2	1409
GSTA1	1410
GSTA5	1411
GSTM3	1412
GSTT4	1413
GSX2	1414
GTPBP4	1415
GTSE1	1416
GTSF1	1417
GTSF1L	1418
GUCA1C	1419
GUCY2C	1420
GVQW3	1421
GXYLT2	1422
GZMA	1423
GZMB	1424
GZMH	1425
GZMK	1426
GZMM	1427
H1-0	1428
H1-1	1429
H1-10	1430
H1-2	1431
H1-3	1432
H1-4	1433
H1-5	1434
H2AC1	1435
H2AC11	1436
H2AC13	1437
H2AC25	1438
H2AC6	1439
H2AC8	1440
H2AJ	1441
H2AP	1442
H2AX	1443
H2AZ1	1444
H2BC1	1445
H2BC21	1446
H2BC26	1447
H2BC8	1448
H2BC9	1449
H3C10	1450
H3C8	1451
H3Y2	1452
H4C16	1453
H4C2	1454
H4C3	1455
H4C5	1456
HABP4	1457
HACD4	1458
HAMP	1459
HAND2	1460
HAO2	1461
HAP1	1462
HAPLN3	1463
HAPLN4	1464
HAS1	1465
HAVCR2	1466
HBA2	1467
HBB	1468
HBEGF	1469
HBG1	1470
HBP1	1471
HCAR1	1472
HCRTR1	1473
HCST	1474
HDAC7	1475
HDGFL3	1476
HEATR5A	1477
HEATR9	1478
HEBP2	1479
HECTD2	1480
HECW1	1481
HEG1	1482
HELB	1483
HELLS	1484
HEPACAM	1485
HEPN1	1486
HERC3	1487
HERC5	1488
HERC6	1489
HERPUD1	1490
HES1	1491
HES2	1492
HES4	1493
HES6	1494
HEXA	1495
HEXIM1	1496
HHATL	1497
HHIP	1498
HHIPL1	1499
HIF3A	1500
HIGD1B	1501
HILPDA	1502
HIPK2	1503
HIPK4	1504
HIVEP3	1505
HJURP	1506
HJV	1507
HK2	1508
HK3	1509
HKDC1	1510
HLF	1511
HLX	1512
HMCN2	1513
HMGB2	1514
HMGCS1	1515
HMMR	1516
HMOX1	1517
HMX2	1518
HNF1A	1519
HOATZ	1520
HOGA1	1521
HOMER1	1522
HOMER2	1523
HOXA1	1524
HOXA10	1525
HOXA11	1526
HOXA13	1527
HOXA2	1528
HOXA6	1529
HOXA9	1530
HOXB1	1531
HOXB2	1532
HOXC12	1533
HOXC13	1534
HOXC5	1535
HOXC8	1536
HOXD1	1537
HOXD10	1538
HOXD3	1539
HOXD8	1540
HOXD9	1541
HPD	1542
HPGD	1543
HPGDS	1544
HPN	1545
HPSE	1546
HRC	1547
HRH1	1548
HRH2	1549
HRH4	1550
HRNR	1551
HS3ST1	1552
HS3ST3B1	1553
HS3ST4	1554
HS3ST5	1555
HSD17B11	1556
HSD17B14	1557
HSD3B1	1558
HSF4	1559
HSFX3	1560
HSFX4	1561
HSH2D	1562
HSPA12B	1563
HSPA1A	1564
HSPA1B	1565
HSPA2	1566
HSPA6	1567
HSPB1	1568
HSPB7	1569
